Water demand,System deficit,Junction 1 deficit,Junction 2 deficit,Junction 3 deficit,Junction 5 deficit,Junction 6 deficit,Junction 7 deficit,Junction 8 deficit,Junction 9 deficit,Junction 10 deficit,Junction 13 deficit,Junction 14 deficit,Junction 15 deficit,Junction 16 deficit,Junction 18 deficit,Junction 19 deficit,Junction 28 deficit
1.088016878,44271.41217,0.000245339,0,0,0.000152964,0.000873621,0.00033876,0,8.36E-05,0,0,0,44271.40677,0.00046632,0,0,0.003248002
1.093239972,44483.93905,0,0.000227309,0.00095931,0,0.000738079,0.00019449,0.000707928,0.000272286,0,0,0.000454619,44483.93446,0.000155592,0.000654446,0.000128851,9.61E-05
1.098463066,44696.46642,0.000319895,0,0.00085868,0,0.000602537,5.02E-05,0,0.000460933,0,0,0,44696.46216,0,0.001361288,0.000615503,0
1.10368616,44908.99828,0,0.00028441,0.00075805,0.000374517,0.000466995,0,0.000885215,0.00064958,0.000912925,0.0019199,0.00056882,44908.98985,0,0,0,0.00160494
1.108909254,45121.52195,0.000394452,0,0.00065742,0,0.000331453,0,0,0.000838227,0.000580745,0.00139981,0,45121.51755,0.000199969,0,0,0
1.114132348,45334.05158,0,0.00034151,0.00055679,0.000196699,0.000195911,0,0,0,0.000248565,0.00087972,0.000683021,45334.04524,0,0,0.000122334,0.003113732
1.119355442,45546.57535,0.000469008,0,0.00045616,0,6.04E-05,0,0.000174583,0,0,0.00035963,0,45546.57294,0,0.000282406,0.000608986,0
1.124578536,45759.10345,1.80E-05,0.000398611,0.00035553,1.89E-05,0,0,0,0,0,0,0.000797222,45759.10063,0.000244346,0.000989248,0,0
1.12980163,45971.63252,0,0,0.0002549,0.000418252,0,0,0.00035187,0,0,0,0,45971.62832,0,0.00169609,0,0.00147067
1.135024724,46184.15862,9.26E-05,0.000455711,0.00015427,0,0,0,0,0,0.00087297,0,0.000911423,46184.15602,0,0,0.000115817,0
1.140247818,46396.68982,0,0,5.36E-05,0.000240434,0,0.000849185,0.000529157,1.70E-05,0.00054079,0,0,46396.68371,0.000288723,0,0.000602469,0.002979462
1.145470912,46609.21436,0.000167119,0,0,0,0,0.000704915,0,0.000205631,0.00020861,0.00166543,0,46609.21141,0,0,0,0
1.150694006,46821.74275,0,5.31E-05,0,6.26E-05,0,0.000560645,0.000706444,0.000394278,0,0.00114534,0.000106162,46821.7391,0,0.000617208,0,0
1.1559171,47034.27223,0.000241675,0,0,0.000461987,0,0.000416375,0,0.000582925,0,0.00062525,0,47034.2668,0.0003331,0.00132405,0.0001093,0.0013364
1.161140194,47246.7984,0,0.000110181,0,0,0.000929158,0.000272105,0.000883731,0.000771572,0,0.00010516,0.000220363,47246.79449,2.24E-05,0,0.000595952,0
1.166363288,47459.32835,0.000316231,0,0,0.000284169,0.000793616,0.000127835,0,0.000960219,0.000833015,0,0,47459.32219,0,0,0,0.002845192
1.171586382,47671.85192,0,0.000167282,0,0,0.000658074,0,0,0,0.000500835,0,0.000334564,47671.84988,0.000377477,0,0,0
1.176809476,47884.37935,0.000390788,0,0,0.00010635,0.000522532,0,0.000173099,0,0.000168655,0,0,47884.37758,6.67E-05,0.000245168,0.000102783,0
1.18203257,48096.91101,0,0.000224382,0,0,0.00038699,0,0,0,0,0.00193105,0.000448765,48096.90527,0,0.00095201,0.000589435,0.00120213
1.187255664,48309.43706,0,0,0,0,0.000251448,0,0.000350386,0,0,0.00141096,0,48309.43297,0.000421854,0.001658852,0,0
1.192478758,48521.96566,0,0.000281483,0,0.000327904,0.000115906,0,0,0,0,0.00089087,0.000562966,48521.96066,0.000111125,0,0,0.002710922
1.197701852,48734.49172,0.000539901,0,0.000899835,0,0,0,0.000527673,0.000138976,0.00079306,0.00037078,0,48734.48836,0,0,9.63E-05,0
1.202924946,48947.01994,8.89E-05,0.000338583,0.000799205,0.000150085,0,0,0,0.000327623,0.00046088,0,0.000677167,48947.01605,0.000466231,0,0.000582918,0
1.20814804,49159.54853,0,0,0.000698575,0,0,0.0009268,0.00070496,0.00051627,0.0001287,0,0,49159.54375,0.000155502,0.00057997,0,0.00106786
1.213371134,49372.076,0,0.000395684,0.000597945,0,0,0.00078253,0,0.000704917,0,0,0.000791368,49372.07144,0,0.001286812,0,0
1.218594228,49584.60578,0.000689014,0,0.000497315,0.000371639,0,0.00063826,0.000882247,0.000893564,0,0,0,49584.59914,0,0,8.97E-05,0.002576652
1.223817322,49797.13177,0.000238011,0.000452784,0.000396685,0,0,0.00049399,0,0,0,0.00167658,0.000905569,49797.12683,0.000199879,0,0.000576401,0
1.229040416,50009.65728,0,0,0.000296055,0.00019382,0,0.00034972,0,0,0.000753105,0.00115649,0,50009.65453,0,0,0,0
1.23426351,50222.18499,0,0,0.000195425,0,0,0.00020545,0.000171615,0,0.000420925,0.0006364,0,50222.18222,0,0.00020793,0,0.00093359
1.239486604,50434.71337,0.000838127,5.02E-05,9.48E-05,1.60E-05,0.000849153,6.12E-05,0,0,8.87E-05,0.00011631,0.000100308,50434.70992,0.000244256,0.000914772,8.32E-05,0
1.244709698,50647.24411,0.000387124,0,0,0.000415374,0.000713611,0,0.000348902,0,0,0,0,50647.23761,0,0.001621614,0.000569884,0.002442382
1.249932792,50859.76628,0,0.000107254,0,0,0.000578069,0,0,7.23E-05,0,0,0.000214509,50859.76531,0,0,0,0
1.255155886,51072.29476,0,0,0,0.000237555,0.000442527,0,0.000526189,0.000260968,0,0,0,51072.293,0.000288633,0,0,0
