Water demand,System deficit,Junctin 1 deficit,Junction 2 deficit,Junction 3 deficit,Junction 5 deficit,Junction 6 deficit,Junction 7 deficit,Junction 8 deficit,Junction 9 deficit,Junction 10 deficit,Junction 13 deficit,Junction 14 deficit,Junction 15 deficit,Junction 16 deficit,Junction 18 deficit,Junction 19 deficit,Junction 28 deficit
0.774631238,42973.98172,0,0,0,0.000116425,0.000217078,0.000205898,0.000183487,0.000483569,0.00035589,0,0,31519.74507,0,0.000505834,11454.23363,0.000952992
0.779854332,43598.15537,0.000487328,0.00046742,0,2.75E-05,8.15E-05,6.16E-05,0,0.000672216,2.37E-05,0.000962355,0.000934839,31732.27277,0.000244614,0.001212676,11865.87571,0.001707388
0.785077426,44222.3224,3.63E-05,7.69E-06,0,0,0,0,0.000360774,0.000860863,0,0.000442265,1.54E-05,31944.80046,0,0.001919518,12277.51829,0
0.79030052,44846.48996,0,0,0.000936475,0,0,0,0,0,0,0,0,32157.32816,0,0,12689.16087,0
0.795523614,45470.66133,0.000110882,6.48E-05,0.000835845,0,0,0,0.000538061,0,0,0,0.000129578,32369.85585,0.000288991,0,13100.80344,6.43E-05
0.800746708,46094.83336,0,0,0.000735215,0.00016016,0,0.00046111,0,0,0.000648115,0.00083512,0,32582.38355,0,0.000133794,13512.44602,0.000818722
0.805969802,46719.00507,0.000185438,0.000121889,0.000634585,7.13E-05,0.000380389,0.00031684,0.000715348,0,0.000315935,0.00031503,0.000243779,32794.91124,0,0.000840636,13924.08811,0.001573118
0.811192896,47343.17246,0,0,0.000533955,0,0.000244847,0.00017257,0,0,0,0,0,33007.43894,0.000333368,0.001547478,14335.73069,0
0.81641599,47967.34222,0.000259995,0.00017899,0.000433325,0,0.000109305,2.83E-05,0.000892635,3.96E-05,0,0,0.00035798,33219.96663,2.26E-05,0,14747.37326,0
0.821639084,48591.51144,0,0,0.000332695,0,0,0,4.72E-06,0.000228267,0,0.000707885,0,33432.49433,0,0,15159.01584,0
0.826862178,49215.68428,0.000334551,0.00023609,0.000232065,0.000203895,0,0,0,0.000416914,0.00094034,0.000187795,0.000472181,33645.02202,0.000377745,0,15570.65817,0.000684452
0.832085272,49839.85384,0,0,0.000131435,0.000114986,0,0,0.000182003,0.000605561,0.00060816,0,0,33857.54972,6.70E-05,0.000468596,15982.3005,0.001438848
